STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
257,6387,6109,2622,3487,278,26,252,8558,1067,7491,0
258,6374,6085,2622,3463,289,25,264,8571,1068,7503,0
259,6363,6065,2618,3447,298,29,269,8582,1068,7514,0
260,6341,6057,2618,3439,284,24,260,8604,1073,7531,0
261,6322,6042,2616,3426,280,25,255,8623,1074,7549,0
262,6304,6025,2611,3414,279,28,251,8641,1076,7565,0
263,6287,5996,2608,3388,291,28,263,8658,1079,7579,0
264,6271,5981,2607,3374,290,27,263,8674,1081,7593,0
265,6253,5955,2605,3350,298,28,270,8692,1082,7610,0
266,6241,5947,2604,3343,294,27,267,8704,1084,7620,0
267,6223,5928,2601,3327,295,29,266,8722,1085,7637,0
268,6210,5913,2599,3314,297,28,269,8735,1088,7647,0
269,6194,5897,2596,3301,297,29,268,8751,1090,7661,0
270,6175,5882,2596,3286,293,28,265,8770,1091,7679,0
271,6153,5878,2596,3282,275,26,249,8792,1093,7699,0
272,6134,5865,2594,3271,269,27,242,8811,1094,7717,0
273,6112,5843,2591,3252,269,30,239,8833,1094,7739,0
274,6097,5829,2591,3238,268,30,238,8848,1094,7754,0
275,6085,5793,2587,3206,292,34,258,8860,1094,7766,0
276,6070,5772,2584,3188,298,34,264,8875,1097,7778,0
277,6057,5744,2578,3166,313,38,275,8888,1099,7789,0
278,6041,5726,2577,3149,315,36,279,8904,1102,7802,0
279,6031,5712,2575,3137,319,37,282,8914,1103,7811,0
280,6013,5699,2574,3125,314,37,277,8932,1104,7828,0
281,5987,5686,2575,3111,301,32,269,8958,1108,7850,0
282,5971,5669,2573,3096,302,33,269,8974,1109,7865,0
283,5959,5655,2570,3085,304,31,273,8986,1114,7872,0
284,5936,5642,2571,3071,294,27,267,9009,1117,7892,0
285,5921,5630,2568,3062,291,29,262,9024,1118,7906,0
286,5907,5622,2564,3058,285,33,252,9038,1118,7920,0
287,5887,5610,2563,3047,277,32,245,9058,1120,7938,0
288,5875,5606,2562,3044,269,32,237,9070,1121,7949,0
289,5864,5594,2559,3035,270,34,236,9081,1122,7959,0
290,5849,5587,2560,3027,262,32,230,9096,1123,7973,0
291,5824,5579,2560,3019,245,29,216,9121,1126,7995,0
292,5806,5566,2558,3008,240,28,212,9139,1129,8010,0
293,5787,5557,2557,3000,230,27,203,9158,1131,8027,0
294,5769,5548,2556,2992,221,26,195,9176,1133,8043,0
295,5752,5539,2558,2981,213,23,190,9193,1134,8059,0
296,5737,5522,2556,2966,215,22,193,9208,1137,8071,0
297,5725,5506,2557,2949,219,20,199,9220,1138,8082,0
298,5712,5492,2555,2937,220,21,199,9233,1139,8094,0
299,5700,5477,2551,2926,223,24,199,9245,1140,8105,0
300,5689,5464,2550,2914,225,24,201,9256,1141,8115,0
301,5672,5446,2546,2900,226,26,200,9273,1143,8130,0
302,5660,5438,2546,2892,222,24,198,9285,1145,8140,0
303,5639,5426,2546,2880,213,20,193,9306,1149,8157,0
304,5627,5406,2547,2859,221,18,203,9318,1150,8168,0
305,5617,5393,2546,2847,224,18,206,9328,1151,8177,0
306,5602,5376,2547,2829,226,16,210,9343,1152,8191,0
307,5586,5349,2544,2805,237,16,221,9359,1155,8204,0
308,5575,5330,2540,2790,245,19,226,9370,1156,8214,0
309,5565,5313,2540,2773,252,19,233,9380,1156,8224,0
310,5551,5289,2540,2749,262,15,247,9394,1160,8234,0
311,5538,5263,2538,2725,275,17,258,9407,1160,8247,0
312,5527,5241,2536,2705,286,17,269,9418,1162,8256,0
313,5506,5218,2530,2688,288,21,267,9439,1164,8275,0
314,5494,5191,2529,2662,303,22,281,9451,1164,8287,0
315,5481,5181,2529,2652,300,21,279,9464,1165,8299,0
316,5465,5166,2528,2638,299,22,277,9480,1165,8315,0
317,5448,5153,2528,2625,295,22,273,9497,1165,8332,0
318,5434,5130,2524,2606,304,25,279,9511,1166,8345,0
319,5421,5109,2522,2587,312,26,286,9524,1167,8357,0
320,5411,5103,2523,2580,308,25,283,9534,1167,8367,0
321,5396,5087,2522,2565,309,25,284,9549,1168,8381,0
322,5383,5068,2522,2546,315,24,291,9562,1169,8393,0
323,5364,5062,2521,2541,302,21,281,9581,1173,8408,0
324,5345,5039,2518,2521,306,23,283,9600,1174,8426,0
325,5325,5030,2517,2513,295,22,273,9620,1176,8444,0
326,5315,5012,2514,2498,303,24,279,9630,1177,8453,0
327,5300,4986,2514,2472,314,23,291,9645,1178,8467,0
328,5279,4969,2511,2458,310,25,285,9666,1179,8487,0
329,5257,4962,2511,2451,295,22,273,9688,1182,8506,0
330,5242,4950,2510,2440,292,23,269,9703,1182,8521,0
331,5223,4940,2509,2431,283,22,261,9722,1184,8538,0
332,5208,4920,2506,2414,288,22,266,9737,1187,8550,0
333,5195,4911,2506,2405,284,21,263,9750,1188,8562,0
334,5177,4901,2506,2395,276,21,255,9768,1188,8580,0
335,5160,4888,2506,2382,272,20,252,9785,1189,8596,0
336,5147,4879,2503,2376,268,22,246,9798,1190,8608,0
337,5125,4863,2501,2362,262,23,239,9820,1191,8629,0
338,5112,4850,2500,2350,262,22,240,9833,1193,8640,0
339,5091,4833,2496,2337,258,21,237,9854,1198,8656,0
